rank,dpto5,departamento,provincia,mca_cluster_label,eci_software,eci_diversity,eci_avg_ubiquity,gh_total_developers,gh_total_repos,pob_2022,pct_nbi_2010,pct_jefe_sec_2010,pct_pc_2010,rad_2014,pob_2010,tasa_empleo_2010
75,06364,General Rodríguez,Buenos Aires,Intermediate-Urban,0.4808128530827046,16,54.9375,17.0,176.0,142315.0,13.91719489689481,29.607638610286447,37.52708015726551,35.084051038358616,87185.0,73.768598
76,14007,Calamuchita,Córdoba,Metropolitan-Diversified,0.4379301597713727,11,53.36363636363637,26.0,214.0,75462.0,7.768253029855158,37.22140112326338,41.96866686373042,8.517233577572108,54730.0,72.558561
77,90105,Tafí Viejo,Tucumán,Intermediate-Urban,0.4355524823811235,3,54.666666666666664,7.0,37.0,172877.0,13.052532580948542,32.37605804111246,35.01612253123741,30.41998461542887,121638.0,64.732532
78,30049,Gualeguay,Entre Ríos,Intermediate-Urban,0.4177578622649236,10,58.7,15.0,100.0,56796.0,7.750882189067046,30.198724695103078,37.80102767287811,29.18963303423985,51883.0,66.79287
79,14063,Marcos Juárez,Córdoba,Metropolitan-Core,0.4072880799475455,11,48.36363636363637,46.0,274.0,107286.0,3.323373548314353,31.94272184011726,49.39959409178036,27.66095676781013,104205.0,74.150057
80,14049,Ischilín,Córdoba,Intermediate-Urban,0.3777886541881903,2,67.0,11.0,58.0,36023.0,9.88092512021983,30.638882528051294,33.04327913899702,14.03063906410731,31312.0,62.076395
81,06763,San Nicolás,Buenos Aires,Metropolitan-Core,0.37259120723714784,14,55.285714285714285,81.0,759.0,166657.0,5.6047590508534775,39.91254356174114,49.07771192648332,32.15599608161326,145857.0,69.968959
82,82042,General López,Santa Fe,Metropolitan-Core,0.3626530966432183,13,58.76923076923077,72.0,625.0,200455.0,4.700529527773033,32.267031072876065,46.10307933599391,37.06476841757371,191024.0,76.208913
83,82077,9 de Julio,Santa Fe,Intermediate-Urban,0.36208497477550217,6,67.5,2.0,55.0,30942.0,15.016010978956999,22.838517840805125,26.692589204025616,27.338131637254676,29832.0,68.095671
84,06098,Berisso,Buenos Aires,Metropolitan-Diversified,0.3609858781160067,10,55.0,22.0,169.0,100685.0,11.202593901417174,40.50785092353091,47.02174942620861,59.14688305314217,88470.0,74.526086
