dpto5,departamento,gh_total_repos,gh_total_developers,eci_software,geo_repos,geo_devs,repos_match,devs_match
06714,Salto,18.0,5.0,-0.9805465138071556,18.0,5,True,True
06728,San Andrés de Giles,17.0,3.0,-0.13699067539714826,17.0,3,True,True
06735,San Antonio de Areco,41.0,7.0,-0.7220148047636246,41.0,7,True,True
06742,San Cayetano,20.0,1.0,-1.9757464965121376,20.0,1,True,True
06749,San Fernando,625.0,42.0,0.5036300362291748,625.0,42,True,True
06756,San Isidro,751.0,77.0,0.9774000918830841,751.0,77,True,True
06760,San Miguel,4117.0,298.0,1.1989270955958113,4117.0,298,True,True
06763,San Nicolás,759.0,81.0,0.37259120723714784,759.0,81,True,True
06770,San Pedro,174.0,15.0,-0.21053408758762773,174.0,15,True,True
06778,San Vicente,59.0,8.0,-0.5174749919409475,59.0,8,True,True
06784,Suipacha,21.0,3.0,-0.9661508651916302,21.0,3,True,True
06791,Tandil,8566.0,861.0,1.6334568394744358,8566.0,861,True,True
06798,Tapalqué,14.0,1.0,-1.6861793028750534,14.0,1,True,True
06805,Tigre,1005.0,113.0,0.7040965212032566,1005.0,113,True,True
06819,Tornquist,93.0,12.0,0.2487201507175236,93.0,12,True,True
06826,Trenque Lauquen,215.0,19.0,0.06799927973131116,215.0,19,True,True
06833,Tres Arroyos,320.0,58.0,-0.04424439805154462,320.0,58,True,True
06840,Tres de Febrero,486.0,49.0,0.18420873600298493,486.0,49,True,True
06861,Vicente López,1181.0,126.0,1.3026154902125293,1181.0,126,True,True
06868,Villa Gesell,175.0,17.0,0.5033876292425022,175.0,17,True,True
06882,Zárate,168.0,19.0,0.12767875217164,168.0,19,True,True
10021,Andalgalá,35.0,1.0,-0.44589160580633946,35.0,1,True,True
62070,Pilcaniyeu,0.0,0.0,,0.0,0,True,True
10105,Tinogasta,45.0,4.0,-0.45916468169804575,45.0,4,True,True
14007,Calamuchita,214.0,26.0,0.4379301597713727,214.0,26,True,True
14014,Capital,50004.0,2411.0,2.0789941970605055,50004.0,2411,True,True
14021,Colón,1506.0,117.0,0.554672501310723,1506.0,117,True,True
14028,Cruz del Eje,492.0,39.0,-0.06023337680953337,492.0,39,True,True
14035,General Roca,37.0,3.0,-0.8509215024255345,37.0,3,True,True
14042,General San Martín,2062.0,219.0,0.8505261933605822,2062.0,219,True,True
14056,Juárez Celman,261.0,25.0,-0.6638572908624827,261.0,25,True,True
14063,Marcos Juárez,274.0,46.0,0.4072880799475455,274.0,46,True,True
14084,Presidente Roque Sáenz Peña,55.0,11.0,-0.05862475152072127,55.0,11,True,True
