dpto5,departamento,provincia,region,mca_cluster_label,eci_software,eci_diversity,eci_avg_ubiquity,gh_total_developers,gh_total_repos,gh_devs_per_10k,pob_2010,pob_2022,pct_jefe_sec_2010,pct_pc_2010,pct_nbi_2010,rad_2014
06581,Necochea,Buenos Aires,Pampeana,Metropolitan-Core,0.2587933194837455,15,55.6,79.0,862.0,7.784555048628834,92933.0,101483.0,35.16945107398568,46.930787589498806,3.4049323786793955,35.72618288589465
82007,Belgrano,Santa Fe,Pampeana,Pampeana-Educated,0.24890798780561507,7,69.85714285714286,8.0,29.0,1.6479894528675016,44788.0,48544.0,29.549064291140116,48.00773427249499,4.488640287272978,48.5561560341409
06819,Tornquist,Buenos Aires,Pampeana,Metropolitan-Core,0.2487201507175236,9,58.22222222222222,12.0,93.0,8.224247824001097,12723.0,14591.0,32.52534156015866,46.49625385632437,3.283384750991626,8.309413287347184
14119,Río Segundo,Córdoba,Pampeana,Intermediate-Urban,0.24591435785905214,10,59.0,36.0,187.0,3.177096663165977,103718.0,113311.0,27.39171081333749,45.58741040822686,4.665004674353381,30.70665724600481
82133,Vera,Santa Fe,Pampeana,Intermediate-Urban,0.243060972080171,6,60.666666666666664,9.0,87.0,1.6227034239042244,51494.0,55463.0,24.972892382759554,26.78232583355923,14.671997831390621,13.650560163942504
06525,Marcos Paz,Buenos Aires,Pampeana,Intermediate-Urban,0.22187873028372326,7,68.71428571428571,7.0,19.0,1.080897453714427,54181.0,64761.0,27.258460698689955,37.02237991266376,12.213427947598253,21.400270789785118
30021,Diamante,Entre Ríos,Pampeana,Pampeana-Educated,0.21739240281508035,9,61.22222222222222,6.0,71.0,1.146964367640312,46361.0,52312.0,34.66585497835498,44.29112554112554,4.978354978354979,18.973050744473785
14140,San Justo,Córdoba,Pampeana,Metropolitan-Core,0.21460743141832453,17,53.76470588235294,220.0,1866.0,9.609042982996362,206307.0,228951.0,33.01562125927699,46.51663873593488,4.253950203495331,28.86035367293161
30028,Federación,Entre Ríos,Pampeana,Intermediate-Urban,0.20830110030168322,11,61.54545454545455,11.0,75.0,1.4054993355821324,68736.0,78264.0,23.227371245742596,37.46000619258953,10.826710702858913,22.387272609479528
50021,Godoy Cruz,Mendoza,Cuyo,Metropolitan-Core,0.20694533617693603,10,57.1,17.0,548.0,0.873779920537426,191903.0,194557.0,50.53420479302832,52.70065359477124,3.724618736383442,85.58123977483616
38094,Tilcara,Jujuy,NOA,Semi-Rural-Active,0.20444085977211035,4,71.25,2.0,15.0,1.3678954927843512,12349.0,14621.0,26.111274654106566,23.049749779216956,18.63408890197233,4.047057795113966
06840,Tres de Febrero,Buenos Aires,Pampeana,Metropolitan-Core,0.18420873600298493,14,56.07142857142857,49.0,486.0,1.3523994049442618,340071.0,362319.0,44.80939354105233,55.53167300245141,4.331722741322343,88.15550261848847
26042,Gaiman,Chubut,Patagonia,Intermediate-Urban,0.1643312675668603,8,61.125,9.0,105.0,7.197121151539384,11141.0,12505.0,26.026225769669328,42.388825541619156,8.523375142531357,9.294029269360875
06147,Carlos Casares,Buenos Aires,Pampeana,Pampeana-Educated,0.16426829191647266,8,54.875,8.0,118.0,3.4926871862038857,22237.0,22905.0,27.408360128617364,46.91961414790997,4.128617363344051,11.011922685248239
06280,General Alvarado,Buenos Aires,Pampeana,Pampeana-Educated,0.16286567520230927,9,56.888888888888886,17.0,203.0,3.7521795749001257,39594.0,45307.0,36.22368834432925,43.31605403707194,6.354068488847,19.159965938455134
06882,Zárate,Buenos Aires,Pampeana,Metropolitan-Diversified,0.12767875217164,9,51.77777777777778,19.0,168.0,1.4458014686299128,114269.0,131415.0,36.60953164966337,51.14515038367683,9.120042336753594,61.33164839685521
06686,Rojas,Buenos Aires,Pampeana,Pampeana-Educated,0.10438116897601321,7,63.142857142857146,14.0,82.0,5.464694172294,23432.0,25619.0,31.61048689138577,44.20724094881398,3.620474406991261,15.255236096630306
06119,Brandsen,Buenos Aires,Pampeana,Metropolitan-Diversified,0.10145278733258174,8,65.375,5.0,63.0,1.545595054095827,26367.0,32350.0,34.574723690533396,43.11629024507448,8.409418548774628,13.467639921885663
06371,General San Martín,Buenos Aires,Pampeana,Metropolitan-Core,0.09045767350120872,11,59.81818181818182,54.0,566.0,1.2148399448372678,414196.0,444503.0,40.425819432140656,52.488701370850286,6.708607978859177,97.19313846487998
06560,Moreno,Buenos Aires,Pampeana,Intermediate-Urban,0.08295325918080483,12,62.75,41.0,288.0,0.7121047384491401,452505.0,575758.0,28.27054573603406,37.19197522900271,12.921719778093149,53.70867427875304
06826,Trenque Lauquen,Buenos Aires,Pampeana,Pampeana-Educated,0.06799927973131116,10,63.8,19.0,215.0,3.8674482983227487,43021.0,49128.0,34.961085474206214,48.446862731593086,3.436875817893794,46.99967653257619
06252,Escobar,Buenos Aires,Pampeana,Metropolitan-Diversified,0.05512991132076335,14,53.92857142857143,30.0,324.0,1.17155007790808,213619.0,256071.0,35.342858571881095,47.141594838365485,11.60700888614728,53.47091371136674
54091,Oberá,Misiones,NEA,Intermediate-Urban,0.05090214793164047,14,59.5,51.0,388.0,4.225247094107023,107501.0,120703.0,25.932835820895523,28.541444562899787,14.572228144989339,12.857083315596299
06161,Carmen de Areco,Buenos Aires,Pampeana,Pampeana-Educated,0.0018619450544359495,8,62.25,3.0,72.0,1.7296050735082156,14692.0,17345.0,25.86914273375081,43.27359101705895,5.139278773483049,11.615091878135868
