rank_old,dpto5,departamento,provincia,eci_software_old,eci_diversity,eci_avg_ubiquity,gh_total_developers,gh_total_repos,pob_2022,eci_software_new,rank_new,rank_change
149,66140,Rosario de la Frontera,Salta,-0.380712439108041,4,87.0,3.0,34.0,33750.0,-0.3974411647204396,149,0
150,66049,General Güemes,Salta,-0.3950606321175439,4,86.0,2.0,22.0,55746.0,-0.4309706328545049,151,-1
151,50014,General Alvear,Mendoza,-0.406828986600231,8,70.5,9.0,104.0,52379.0,-0.4220929809997268,150,1
152,06196,Coronel Pringles,Buenos Aires,-0.4200830807234976,7,64.85714285714286,2.0,19.0,24110.0,-0.4412404411029542,153,-1
153,54098,San Ignacio,Misiones,-0.4370186599080982,10,70.3,9.0,160.0,63194.0,-0.4541468256034949,156,-3
154,58070,Los Lagos,Neuquén,-0.4375084517568889,5,83.8,5.0,26.0,15502.0,-0.4597061931301918,158,-4
155,10021,Andalgalá,Catamarca,-0.4383481322092691,5,75.4,1.0,35.0,19545.0,-0.4458916058063394,155,0
156,82112,San Justo,Santa Fe,-0.4423973960909,6,81.5,24.0,173.0,46486.0,-0.4433288982661257,154,2
157,54077,Libertador General San Martín,Misiones,-0.4482593349229298,5,80.6,12.0,123.0,52166.0,-0.4765973738913214,160,-3
158,06854,25 de Mayo,Buenos Aires,-0.450853439285796,6,72.83333333333333,4.0,49.0,35411.0,-0.4395765449287628,152,6
159,10105,Tinogasta,Catamarca,-0.4606804355846809,5,80.2,4.0,45.0,25254.0,-0.4591646816980457,157,2
160,06105,Bolívar,Buenos Aires,-0.4659100792774685,8,73.375,13.0,157.0,37194.0,-0.4744285181863221,159,1
161,38042,Palpalá,Jujuy,-0.483758477924609,6,77.83333333333333,9.0,92.0,65522.0,-0.4984509673508419,161,0
162,06469,Lincoln,Buenos Aires,-0.4889622510056554,3,73.0,9.0,34.0,45191.0,-0.498656698396809,162,0
163,06778,San Vicente,Buenos Aires,-0.5305074676384445,5,87.0,8.0,59.0,97929.0,-0.5174749919409475,163,0
164,06238,Dolores,Buenos Aires,-0.5956267962869471,4,88.25,11.0,73.0,31405.0,-0.5910706856945359,164,0
165,30088,San Salvador,Entre Ríos,-0.6112284768888084,8,81.625,7.0,117.0,20786.0,-0.6314357261927351,166,-1
166,82119,San Lorenzo,Santa Fe,-0.6161881271980334,9,74.44444444444444,21.0,264.0,193786.0,-0.6123354249489328,165,1
167,06707,Saladillo,Buenos Aires,-0.6382823534889379,6,77.5,6.0,42.0,35423.0,-0.6587556521408584,168,-1
168,06483,Lobos,Buenos Aires,-0.6424004388473995,8,78.0,6.0,105.0,41418.0,-0.6447251426188304,167,1
169,14056,Juárez Celman,Córdoba,-0.6703675283509857,8,75.0,25.0,261.0,67648.0,-0.6638572908624827,169,0
170,82028,Constitución,Santa Fe,-0.7069594469243563,7,80.14285714285714,13.0,67.0,93000.0,-0.7292603721410272,172,-2
171,06455,Las Flores,Buenos Aires,-0.7082959515942331,5,75.2,7.0,75.0,27136.0,-0.698749644292089,170,1
172,50119,Tunuyán,Mendoza,-0.7177896719499234,7,75.0,2.0,25.0,59972.0,-0.7366280462800154,173,-1
173,06735,San Antonio de Areco,Buenos Aires,-0.7305420360886941,6,82.16666666666667,7.0,41.0,26695.0,-0.7220148047636246,171,2
174,30105,Victoria,Entre Ríos,-0.7472885739019458,7,86.71428571428571,10.0,96.0,40301.0,-0.7693857863575017,175,-1
175,26035,Futaleufú,Chubut,-0.7557987402055263,10,77.7,23.0,334.0,49965.0,-0.7648332343035756,174,1
176,06532,Mercedes,Buenos Aires,-0.7878930435480646,8,77.125,25.0,382.0,71002.0,-0.7952062927614711,179,-3
177,22021,Comandante Fernández,Chaco,-0.7939695201718845,9,83.11111111111111,33.0,358.0,101086.0,-0.7853695054723896,177,0
178,06655,Punta Indio,Buenos Aires,-0.8014043769916869,4,83.25,5.0,20.0,12161.0,-0.7800220746723602,176,2
179,50056,Lavalle,Mendoza,-0.8155036653654921,3,76.66666666666667,1.0,11.0,47086.0,-0.7873493956539601,178,1
180,06231,Daireaux,Buenos Aires,-0.8226564104118841,4,82.5,3.0,30.0,18328.0,-0.8081670367326649,180,0
181,14035,General Roca,Córdoba,-0.8352803969290085,5,95.0,3.0,37.0,36064.0,-0.8509215024255345,182,-1
182,06651,Puán,Buenos Aires,-0.8483545216172523,5,79.8,2.0,27.0,16391.0,-0.8406981037151051,181,1
183,06203,Coronel Suárez,Buenos Aires,-0.8828695087881927,5,88.4,9.0,103.0,41713.0,-0.905090629478808,183,0
184,18084,Ituzaingó,Corrientes,-0.9287716387526852,6,77.16666666666667,11.0,70.0,38767.0,-0.9234556874040312,184,0
185,06077,Arrecifes,Buenos Aires,-0.9493388504350232,5,88.0,7.0,62.0,32077.0,-0.9568127434818992,185,0
186,06784,Suipacha,Buenos Aires,-0.9514203782980104,6,81.33333333333333,3.0,21.0,11736.0,-0.9661508651916302,186,0
187,06714,Salto,Buenos Aires,-0.974158268142704,4,104.75,5.0,18.0,39257.0,-0.9805465138071556,187,0
188,06574,Navarro,Buenos Aires,-0.992702122552923,7,84.85714285714286,11.0,54.0,19888.0,-0.9811370985390788,188,0
189,46014,Capital,La Rioja,-0.9961748571460318,2,102.5,5.0,20.0,210507.0,-1.0397566927967643,191,-2
190,06518,Mar Chiquita,Buenos Aires,-1.008888600841989,8,83.0,7.0,80.0,32973.0,-1.0072965528376785,189,1
191,90119,Yerba Buena,Tucumán,-1.0327768635808252,8,88.5,16.0,134.0,102589.0,-1.0447303490679114,192,-1
192,06385,General Viamonte,Buenos Aires,-1.035269788574949,5,83.2,3.0,27.0,22530.0,-1.0333736034016092,190,2
193,66056,General José de San Martín,Salta,-1.054951075827358,3,92.0,7.0,50.0,177448.0,-1.0455967199018943,193,0
194,06505,Magdalena,Buenos Aires,-1.0870521912655842,3,85.0,3.0,25.0,22653.0,-1.0602372887072278,194,0
195,90070,Monteros,Tucumán,-1.1120978573603288,5,93.0,2.0,20.0,77469.0,-1.1401065946253774,196,-1
196,06277,Florentino Ameghino,Buenos Aires,-1.136507639199966,3,87.33333333333333,2.0,26.0,10759.0,-1.0988847742090688,195,1
197,06511,Maipú,Buenos Aires,-1.158619089343946,5,91.0,1.0,25.0,11253.0,-1.159242534263884,197,0
198,06021,Alberti,Buenos Aires,-1.1774681263462203,5,83.8,4.0,46.0,12906.0,-1.1651319444012762,198,0
199,58112,Zapala,Neuquén,-1.1992188516140443,5,89.2,5.0,29.0,45540.0,-1.190161727480119,199,0
200,38035,Ledesma,Jujuy,-1.220366569502956,5,89.8,5.0,86.0,93653.0,-1.200872390187549,200,0
201,06301,General Belgrano,Buenos Aires,-1.3309606858648122,3,97.33333333333331,2.0,19.0,20674.0,-1.319600700220242,201,0
202,82091,San Cristóbal,Santa Fe,-1.3685810264997156,3,81.33333333333333,12.0,138.0,72593.0,-1.3482546764112535,202,0
203,66077,La Caldera,Salta,-1.410075866233871,4,93.25,4.0,30.0,12246.0,-1.402608941064634,203,0
204,50070,Maipú,Mendoza,-1.4333564996618249,3,105.0,8.0,161.0,218887.0,-1.441404614984115,204,0
205,06462,Leandro N. Alem,Buenos Aires,-1.458272547867227,3,94.33333333333331,3.0,25.0,17153.0,-1.4650276084178977,205,0
206,22105,9 de Julio,Chaco,-1.4899427669820786,5,99.2,3.0,69.0,30223.0,-1.4804374526992397,206,0
207,90077,Río Chico,Tucumán,-1.5513142484581677,4,105.5,2.0,17.0,64927.0,-1.5397872966197048,207,0
208,90021,Chicligasta,Tucumán,-1.5697990387339045,5,97.6,2.0,184.0,92308.0,-1.552956843410214,208,0
209,06798,Tapalqué,Buenos Aires,-1.6844918967790787,4,109.25,1.0,14.0,10695.0,-1.6861793028750534,209,0
210,06392,General Villegas,Buenos Aires,-1.7044190321605812,5,103.2,5.0,21.0,35055.0,-1.7067039526290326,210,0
211,06189,Coronel Dorrego,Buenos Aires,-1.709366109699279,3,110.33333333333331,5.0,36.0,15795.0,-1.715408595302464,211,0
212,30113,Villaguay,Entre Ríos,-1.9771350302959425,3,104.0,6.0,30.0,55284.0,-1.9757464965121376,213,-1
213,06742,San Cayetano,Buenos Aires,-1.9771350302959425,3,104.0,1.0,20.0,8918.0,-1.9757464965121376,212,1
214,90049,La Cocha,Tucumán,-1.985387221911249,3,120.33333333333331,2.0,19.0,21196.0,-1.97648352433398,214,0
215,82105,San Jerónimo,Santa Fe,-1.985387221911249,3,120.33333333333331,9.0,87.0,84617.0,-1.97648352433398,216,-1
216,06112,Bragado,Buenos Aires,-1.985387221911249,3,120.33333333333331,7.0,94.0,46227.0,-1.97648352433398,215,1
217,54084,Montecarlo,Misiones,-2.0684008775138705,3,105.33333333333331,2.0,46.0,38620.0,-2.0506145084983083,218,-1
218,54014,Cainguás,Misiones,-2.0684008775138705,3,105.33333333333331,4.0,22.0,59875.0,-2.0506145084983083,217,1
219,90112,Trancas,Tucumán,-2.073638758600617,2,116.5,2.0,15.0,23438.0,-2.069218468945733,219,0
220,06084,Benito Juárez,Buenos Aires,-2.1981592420045493,2,94.0,2.0,55.0,21185.0,-2.1804149451922266,220,0
